sequence_name,mcg,gvh,lip,chg,aac,alm1,alm2,location
AAT_ECOLI,0.49,0.29,0.48,0.50,0.56,0.24,0.35,1
ACEA_ECOLI,0.07,0.40,0.48,0.50,0.54,0.35,0.44,1
ACEK_ECOLI,0.56,0.40,0.48,0.50,0.49,0.37,0.46,1
ACKA_ECOLI,0.59,0.49,0.48,0.50,0.52,0.45,0.36,1
ADI_ECOLI,0.23,0.32,0.48,0.50,0.55,0.25,0.35,1
ALKH_ECOLI,0.67,0.39,0.48,0.50,0.36,0.38,0.46,1
AMPD_ECOLI,0.29,0.28,0.48,0.50,0.44,0.23,0.34,1
AMY2_ECOLI,0.21,0.34,0.48,0.50,0.51,0.28,0.39,1
APT_ECOLI,0.20,0.44,0.48,0.50,0.46,0.51,0.57,1
ARAC_ECOLI,0.42,0.40,0.48,0.50,0.56,0.18,0.30,1
ASG1_ECOLI,0.42,0.24,0.48,0.50,0.57,0.27,0.37,1
BTUR_ECOLI,0.25,0.48,0.48,0.50,0.44,0.17,0.29,1
CAFA_ECOLI,0.39,0.32,0.48,0.50,0.46,0.24,0.35,1
CAIB_ECOLI,0.51,0.50,0.48,0.50,0.46,0.32,0.35,1
CFA_ECOLI,0.22,0.43,0.48,0.50,0.48,0.16,0.28,1
CHEA_ECOLI,0.25,0.40,0.48,0.50,0.46,0.44,0.52,1
CHEB_ECOLI,0.34,0.45,0.48,0.50,0.38,0.24,0.35,1
CHEW_ECOLI,0.44,0.27,0.48,0.50,0.55,0.52,0.58,1
CHEY_ECOLI,0.23,0.40,0.48,0.50,0.39,0.28,0.38,1
CHEZ_ECOLI,0.41,0.57,0.48,0.50,0.39,0.21,0.32,1
CRL_ECOLI,0.40,0.45,0.48,0.50,0.38,0.22,0.00,1
CSPA_ECOLI,0.31,0.23,0.48,0.50,0.73,0.05,0.14,1
CYNR_ECOLI,0.51,0.54,0.48,0.50,0.41,0.34,0.43,1
CYPB_ECOLI,0.30,0.16,0.48,0.50,0.56,0.11,0.23,1
CYPC_ECOLI,0.36,0.39,0.48,0.50,0.48,0.22,0.23,1
CYSB_ECOLI,0.29,0.37,0.48,0.50,0.48,0.44,0.52,1
CYSE_ECOLI,0.25,0.40,0.48,0.50,0.47,0.33,0.42,1
DAPD_ECOLI,0.21,0.51,0.48,0.50,0.50,0.32,0.41,1
DCP_ECOLI,0.43,0.37,0.48,0.50,0.53,0.35,0.44,1
DDLA_ECOLI,0.43,0.39,0.48,0.50,0.47,0.31,0.41,1
DDLB_ECOLI,0.53,0.38,0.48,0.50,0.44,0.26,0.36,1
DEOC_ECOLI,0.34,0.33,0.48,0.50,0.38,0.35,0.44,1
DLDH_ECOLI,0.56,0.51,0.48,0.50,0.34,0.37,0.46,1
EFG_ECOLI,0.40,0.29,0.48,0.50,0.42,0.35,0.44,1
EFTS_ECOLI,0.24,0.35,0.48,0.50,0.31,0.19,0.31,1
EFTU_ECOLI,0.36,0.54,0.48,0.50,0.41,0.38,0.46,1
ENO_ECOLI,0.29,0.52,0.48,0.50,0.42,0.29,0.39,1
FABB_ECOLI,0.65,0.47,0.48,0.50,0.59,0.30,0.40,1
FES_ECOLI,0.32,0.42,0.48,0.50,0.35,0.28,0.38,1
G3P1_ECOLI,0.38,0.46,0.48,0.50,0.48,0.22,0.29,1
G3P2_ECOLI,0.33,0.45,0.48,0.50,0.52,0.32,0.41,1
G6PI_ECOLI,0.30,0.37,0.48,0.50,0.59,0.41,0.49,1
GCVA_ECOLI,0.40,0.50,0.48,0.50,0.45,0.39,0.47,1
GLNA_ECOLI,0.28,0.38,0.48,0.50,0.50,0.33,0.42,1
GLPD_ECOLI,0.61,0.45,0.48,0.50,0.48,0.35,0.41,1
GLYA_ECOLI,0.17,0.38,0.48,0.50,0.45,0.42,0.50,1
GSHR_ECOLI,0.44,0.35,0.48,0.50,0.55,0.55,0.61,1
GT_ECOLI,0.43,0.40,0.48,0.50,0.39,0.28,0.39,1
HEM6_ECOLI,0.42,0.35,0.48,0.50,0.58,0.15,0.27,1
HEMN_ECOLI,0.23,0.33,0.48,0.50,0.43,0.33,0.43,1
HPRT_ECOLI,0.37,0.52,0.48,0.50,0.42,0.42,0.36,1
IF1_ECOLI,0.29,0.30,0.48,0.50,0.45,0.03,0.17,1
IF2_ECOLI,0.22,0.36,0.48,0.50,0.35,0.39,0.47,1
ILVY_ECOLI,0.23,0.58,0.48,0.50,0.37,0.53,0.59,1
IPYR_ECOLI,0.47,0.47,0.48,0.50,0.22,0.16,0.26,1
KAD_ECOLI,0.54,0.47,0.48,0.50,0.28,0.33,0.42,1
KDSA_ECOLI,0.51,0.37,0.48,0.50,0.35,0.36,0.45,1
LEU3_ECOLI,0.40,0.35,0.48,0.50,0.45,0.33,0.42,1
LON_ECOLI,0.44,0.34,0.48,0.50,0.30,0.33,0.43,1
LPLA_ECOLI,0.42,0.38,0.48,0.50,0.54,0.34,0.43,1
LYSR_ECOLI,0.44,0.56,0.48,0.50,0.50,0.46,0.54,1
MALQ_ECOLI,0.52,0.36,0.48,0.50,0.41,0.28,0.38,1
MALZ_ECOLI,0.36,0.41,0.48,0.50,0.48,0.47,0.54,1
MASY_ECOLI,0.18,0.30,0.48,0.50,0.46,0.24,0.35,1
METB_ECOLI,0.47,0.29,0.48,0.50,0.51,0.33,0.43,1
METC_ECOLI,0.24,0.43,0.48,0.50,0.54,0.52,0.59,1
METK_ECOLI,0.25,0.37,0.48,0.50,0.41,0.33,0.42,1
METR_ECOLI,0.52,0.57,0.48,0.50,0.42,0.47,0.54,1
METX_ECOLI,0.25,0.37,0.48,0.50,0.43,0.26,0.36,1
MURF_ECOLI,0.35,0.48,0.48,0.50,0.56,0.40,0.48,1
NADA_ECOLI,0.26,0.26,0.48,0.50,0.34,0.25,0.35,1
NFRC_ECOLI,0.44,0.51,0.48,0.50,0.47,0.26,0.36,1
NHAR_ECOLI,0.37,0.50,0.48,0.50,0.42,0.36,0.45,1
NIRD_ECOLI,0.44,0.42,0.48,0.50,0.42,0.25,0.20,1
OMPR_ECOLI,0.24,0.43,0.48,0.50,0.37,0.28,0.38,1
OTC1_ECOLI,0.42,0.30,0.48,0.50,0.48,0.26,0.36,1
OTC2_ECOLI,0.48,0.42,0.48,0.50,0.45,0.25,0.35,1
PEPE_ECOLI,0.41,0.48,0.48,0.50,0.51,0.44,0.51,1
PFLA_ECOLI,0.44,0.28,0.48,0.50,0.43,0.27,0.37,1
PFLB_ECOLI,0.29,0.41,0.48,0.50,0.48,0.38,0.46,1
PGK_ECOLI,0.34,0.28,0.48,0.50,0.41,0.35,0.44,1
PHOB_ECOLI,0.41,0.43,0.48,0.50,0.45,0.31,0.41,1
PHOH_ECOLI,0.29,0.47,0.48,0.50,0.41,0.23,0.34,1
PMBA_ECOLI,0.34,0.55,0.48,0.50,0.58,0.31,0.41,1
PNP_ECOLI,0.36,0.56,0.48,0.50,0.43,0.45,0.53,1
PROB_ECOLI,0.40,0.46,0.48,0.50,0.52,0.49,0.56,1
PT1A_ECOLI,0.50,0.49,0.48,0.50,0.49,0.46,0.53,1
PT1_ECOLI,0.52,0.44,0.48,0.50,0.37,0.36,0.42,1
PTCA_ECOLI,0.50,0.51,0.48,0.50,0.27,0.23,0.34,1
PTCB_ECOLI,0.53,0.42,0.48,0.50,0.16,0.29,0.39,1
PTFA_ECOLI,0.34,0.46,0.48,0.50,0.52,0.35,0.44,1
PTGA_ECOLI,0.40,0.42,0.48,0.50,0.37,0.27,0.27,1
PTHA_ECOLI,0.41,0.43,0.48,0.50,0.50,0.24,0.25,1
PTHP_ECOLI,0.30,0.45,0.48,0.50,0.36,0.21,0.32,1
PTKA_ECOLI,0.31,0.47,0.48,0.50,0.29,0.28,0.39,1
PTKB_ECOLI,0.64,0.76,0.48,0.50,0.45,0.35,0.38,1
PTNA_ECOLI,0.35,0.37,0.48,0.50,0.30,0.34,0.43,1
PTWB_ECOLI,0.57,0.54,0.48,0.50,0.37,0.28,0.33,1
PTWX_ECOLI,0.65,0.55,0.48,0.50,0.34,0.37,0.28,1
RHAR_ECOLI,0.51,0.46,0.48,0.50,0.58,0.31,0.41,1
RHAS_ECOLI,0.38,0.40,0.48,0.50,0.63,0.25,0.35,1
